,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
mu_global,86.121,0.09,85.954,86.29,0.003,0.002,731.868,1630.544,1.003
alpha_nonref[AAA],1.262,0.052,1.169,1.362,0.001,0.001,3912.656,4657.586,1.0
alpha_nonref[AA],1.443,0.071,1.308,1.572,0.001,0.001,3078.211,4192.913,1.001
b_age1,-0.075,0.015,-0.103,-0.048,0.0,0.0,1648.981,2810.901,1.001
b_age2,-0.016,0.002,-0.021,-0.012,0.0,0.0,1761.118,2824.948,1.002
sigma_batter,3.833,0.065,3.712,3.955,0.002,0.001,1292.399,2164.616,1.003
sigma_season,1.15,0.026,1.102,1.201,0.001,0.0,1445.456,3061.362,1.004
